Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Relative General Population Compliance (% relative to general population subpopulation),Actual/ Converted Superspreader Compliance Required (relative to vaccine efficacy),Actual/ Converted General Population Compliance Required (relative to vaccine efficacy)
10,0,12.5,0.0,13.157894736842104
10,10,10.0,10.526315789473683,10.526315789473683
10,20,7.5,21.052631578947366,7.894736842105263
10,30,5.0,31.57894736842105,5.263157894736842
10,40,2.5,42.10526315789473,2.631578947368421
10,50,0.0,52.63157894736842,0.0
10,60,0.0,63.1578947368421,0.0
10,70,0.0,73.68421052631578,0.0
10,80,0.0,84.21052631578947,0.0
10,90,0.0,94.73684210526315,0.0
10,100,0.0,105.26315789473684,0.0
20,0,25.0,0.0,26.31578947368421
20,10,22.5,10.526315789473683,23.684210526315788
20,20,20.0,21.052631578947366,21.052631578947366
20,30,17.5,31.57894736842105,18.421052631578945
20,40,15.0,42.10526315789473,15.789473684210526
20,50,12.5,52.63157894736842,13.157894736842104
20,60,10.0,63.1578947368421,10.526315789473683
20,70,7.5,73.68421052631578,7.894736842105263
20,80,5.0,84.21052631578947,5.263157894736842
20,90,2.5,94.73684210526315,2.631578947368421
20,100,0.0,105.26315789473684,0.0
30,0,37.5,0.0,39.473684210526315
30,10,35.0,10.526315789473683,36.84210526315789
30,20,32.5,21.052631578947366,34.21052631578947
30,30,30.0,31.57894736842105,31.57894736842105
30,40,27.500000000000004,42.10526315789473,28.947368421052634
30,50,25.0,52.63157894736842,26.31578947368421
30,60,22.5,63.1578947368421,23.684210526315788
30,70,20.0,73.68421052631578,21.052631578947366
30,80,17.5,84.21052631578947,18.421052631578945
30,90,15.0,94.73684210526315,15.789473684210526
30,100,12.5,105.26315789473684,13.157894736842104
40,0,50.0,0.0,52.63157894736842
40,10,47.5,10.526315789473683,50.0
40,20,45.0,21.052631578947366,47.368421052631575
40,30,42.5,31.57894736842105,44.73684210526316
40,40,40.0,42.10526315789473,42.10526315789473
40,50,37.5,52.63157894736842,39.473684210526315
40,60,35.0,63.1578947368421,36.84210526315789
40,70,32.5,73.68421052631578,34.21052631578947
40,80,30.0,84.21052631578947,31.57894736842105
40,90,27.500000000000004,94.73684210526315,28.947368421052634
40,100,25.0,105.26315789473684,26.31578947368421
50,0,62.5,0.0,65.78947368421052
50,10,60.0,10.526315789473683,63.1578947368421
50,20,57.49999999999999,21.052631578947366,60.52631578947367
50,30,55.00000000000001,31.57894736842105,57.89473684210527
50,40,52.5,42.10526315789473,55.263157894736835
50,50,50.0,52.63157894736842,52.63157894736842
50,60,47.5,63.1578947368421,50.0
50,70,45.0,73.68421052631578,47.368421052631575
50,80,42.5,84.21052631578947,44.73684210526316
50,90,40.0,94.73684210526315,42.10526315789473
50,100,37.5,105.26315789473684,39.473684210526315
60,0,75.0,0.0,78.94736842105263
60,10,72.5,10.526315789473683,76.3157894736842
60,20,70.0,21.052631578947366,73.68421052631578
60,30,67.5,31.57894736842105,71.05263157894737
60,40,65.0,42.10526315789473,68.42105263157895
60,50,62.5,52.63157894736842,65.78947368421052
60,60,60.0,63.1578947368421,63.1578947368421
60,70,57.49999999999999,73.68421052631578,60.52631578947367
60,80,55.00000000000001,84.21052631578947,57.89473684210527
60,90,52.5,94.73684210526315,55.263157894736835
60,100,50.0,105.26315789473684,52.63157894736842
70,0,87.5,0.0,92.10526315789473
70,10,85.0,10.526315789473683,89.47368421052632
70,20,82.5,21.052631578947366,86.84210526315789
70,30,80.0,31.57894736842105,84.21052631578947
70,40,77.5,42.10526315789473,81.57894736842104
70,50,75.0,52.63157894736842,78.94736842105263
70,60,72.5,63.1578947368421,76.3157894736842
70,70,70.0,73.68421052631578,73.68421052631578
70,80,67.5,84.21052631578947,71.05263157894737
70,90,65.0,94.73684210526315,68.42105263157895
70,100,62.5,105.26315789473684,65.78947368421052
80,0,100.0,0.0,105.26315789473684
80,10,97.5,10.526315789473683,102.63157894736841
80,20,95.0,21.052631578947366,100.0
80,30,92.5,31.57894736842105,97.36842105263158
80,40,90.0,42.10526315789473,94.73684210526315
80,50,87.5,52.63157894736842,92.10526315789473
80,60,85.0,63.1578947368421,89.47368421052632
80,70,82.5,73.68421052631578,86.84210526315789
80,80,80.0,84.21052631578947,84.21052631578947
80,90,77.5,94.73684210526315,81.57894736842104
80,100,75.0,105.26315789473684,78.94736842105263
90,0,100.0,0.0,105.26315789473684
90,10,100.0,10.526315789473683,105.26315789473684
90,20,100.0,21.052631578947366,105.26315789473684
90,30,100.0,31.57894736842105,105.26315789473684
90,40,100.0,42.10526315789473,105.26315789473684
90,50,100.0,52.63157894736842,105.26315789473684
90,60,97.5,63.1578947368421,102.63157894736841
90,70,95.0,73.68421052631578,100.0
90,80,92.5,84.21052631578947,97.36842105263158
90,90,90.0,94.73684210526315,94.73684210526315
90,100,87.5,105.26315789473684,92.10526315789473
100,0,100.0,0.0,105.26315789473684
100,10,100.0,10.526315789473683,105.26315789473684
100,20,100.0,21.052631578947366,105.26315789473684
100,30,100.0,31.57894736842105,105.26315789473684
100,40,100.0,42.10526315789473,105.26315789473684
100,50,100.0,52.63157894736842,105.26315789473684
100,60,100.0,63.1578947368421,105.26315789473684
100,70,100.0,73.68421052631578,105.26315789473684
100,80,100.0,84.21052631578947,105.26315789473684
100,90,100.0,94.73684210526315,105.26315789473684
100,100,100.0,105.26315789473684,105.26315789473684
