Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Peak Infected Mean,Peak Infected Standard Deviation),Peak Infected 95% Confidence Interval (±)
0,N/A,12.58,0.0,0.0
10,0,10.56,0.0,0.0
10,10,7.89,0.0,0.0
10,20,7.9,0.0,0.0
10,30,6.660000000000001,0.0,0.0
10,40,3.61,0.0,0.0
10,50,3.34,0.0,0.0
10,60,3.85,0.0,0.0
10,70,3.15,0.0,0.0
10,80,4.09,0.0,0.0
10,90,3.32,0.0,0.0
10,100,4.31,0.0,0.0
20,0,8.6,0.0,0.0
20,10,7.55,0.0,0.0
20,20,6.75,0.0,0.0
20,30,4.63,0.0,0.0
20,40,4.06,0.0,0.0
20,50,2.1,0.0,0.0
20,60,1.27,0.0,0.0
20,70,1.17,0.0,0.0
20,80,0.6,0.0,0.0
20,90,0.13,0.0,0.0
20,100,0.38999999999999996,0.0,0.0
30,0,7.779999999999999,0.0,0.0
30,10,6.15,0.0,0.0
30,20,4.53,0.0,0.0
30,30,3.39,0.0,0.0
30,40,2.9899999999999998,0.0,0.0
30,50,2.21,0.0,0.0
30,60,2.53,0.0,0.0
30,70,0.76,0.0,0.0
30,80,0.05,0.0,0.0
30,90,0.13999999999999999,0.0,0.0
30,100,0.09,0.0,0.0
40,0,5.680000000000001,0.0,0.0
40,10,4.3,0.0,0.0
40,20,4.36,0.0,0.0
40,30,2.15,0.0,0.0
40,40,3.66,0.0,0.0
40,50,1.27,0.0,0.0
40,60,1.3299999999999998,0.0,0.0
40,70,0.15,0.0,0.0
40,80,0.05,0.0,0.0
40,90,0.1,0.0,0.0
40,100,0.06999999999999999,0.0,0.0
50,0,5.06,0.0,0.0
50,10,4.58,0.0,0.0
50,20,3.3099999999999996,0.0,0.0
50,30,1.81,0.0,0.0
50,40,2.46,0.0,0.0
50,50,1.6500000000000001,0.0,0.0
50,60,0.7100000000000001,0.0,0.0
50,70,0.09,0.0,0.0
50,80,0.06,0.0,0.0
50,90,0.08,0.0,0.0
50,100,0.06,0.0,0.0
60,0,3.74,0.0,0.0
60,10,3.37,0.0,0.0
60,20,2.4,0.0,0.0
60,30,1.79,0.0,0.0
60,40,0.03,0.0,0.0
60,50,0.13999999999999999,0.0,0.0
60,60,0.59,0.0,0.0
60,70,0.05,0.0,0.0
60,80,0.05,0.0,0.0
60,90,0.06,0.0,0.0
60,100,0.06,0.0,0.0
70,0,2.71,0.0,0.0
70,10,2.34,0.0,0.0
70,20,2.03,0.0,0.0
70,30,0.03,0.0,0.0
70,40,1.03,0.0,0.0
70,50,0.52,0.0,0.0
70,60,0.52,0.0,0.0
70,70,0.18,0.0,0.0
70,80,0.04,0.0,0.0
70,90,0.06999999999999999,0.0,0.0
70,100,0.11,0.0,0.0
80,0,2.0500000000000003,0.0,0.0
80,10,2.0500000000000003,0.0,0.0
80,20,0.02,0.0,0.0
80,30,0.8699999999999999,0.0,0.0
80,40,1.01,0.0,0.0
80,50,0.03,0.0,0.0
80,60,0.66,0.0,0.0
80,70,0.11,0.0,0.0
80,80,0.02,0.0,0.0
80,90,0.03,0.0,0.0
80,100,0.02,0.0,0.0
90,0,2.11,0.0,0.0
90,10,1.6,0.0,0.0
90,20,0.0,0.0,0.0
90,30,0.7100000000000001,0.0,0.0
90,40,0.48,0.0,0.0
90,50,0.02,0.0,0.0
90,60,0.26,0.0,0.0
90,70,0.02,0.0,0.0
90,80,0.02,0.0,0.0
90,90,0.02,0.0,0.0
90,100,0.03,0.0,0.0
100,0,2.48,0.0,0.0
100,10,1.9900000000000002,0.0,0.0
100,20,1.6099999999999999,0.0,0.0
100,30,0.04,0.0,0.0
100,40,0.02,0.0,0.0
100,50,0.01,0.0,0.0
100,60,0.02,0.0,0.0
100,70,0.01,0.0,0.0
100,80,0.0,0.0,0.0
100,90,0.0,0.0,0.0
100,100,0.0,0.0,0.0
