Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Peak Infected Mean,Peak Infected Standard Deviation),Peak Infected 95% Confidence Interval (±)
0,N/A,11.541999999999998,0.6957988214994335,1.3637656901388897
10,0,9.787,0.5755701521100617,1.128117498135721
10,10,8.709,0.4894578633549574,0.9593374121757164
10,20,7.792,0.3880154636093775,0.7605103086743799
10,30,6.401000000000001,0.8471652731315182,1.6604439353377758
10,40,4.692,0.5796171149992035,1.136049545398439
10,50,3.946,0.44565008695163527,0.8734741704252051
10,60,3.973,0.5465354517320904,1.0712094853948972
10,70,3.655,0.42088597030549757,0.8249365017987752
10,80,4.074,0.4240565999958025,0.8311509359917728
10,90,3.6799999999999997,0.547412093399479,1.072927703062979
10,100,4.125000000000001,0.6413930152410454,1.257130309872449
20,0,8.623000000000001,0.47847779467808116,0.9378164775690391
20,10,7.090999999999999,0.47143292205784704,0.9240085272333802
20,20,6.231999999999999,0.4059014658756482,0.7955668731162704
20,30,5.252999999999999,0.510373392723406,1.0003318497378757
20,40,4.068,0.5072041009297933,0.9941200378223948
20,50,3.1400000000000006,0.4574494507593162,0.8966009234882597
20,60,1.7060000000000002,0.9119342081531979,1.787391047980268
20,70,1.1380000000000001,0.4597564572684107,0.9011226562460849
20,80,0.5509999999999999,0.34763342762168314,0.681361518138499
20,90,0.197,0.07142128534267639,0.13998571927164571
20,100,0.193,0.09529428104561154,0.1867767908493986
30,0,7.116000000000001,0.5654060487826426,1.1081958556139795
30,10,5.906000000000001,0.44050425650610897,0.8633883427519735
30,20,4.884,0.2870261312145638,0.562571217180545
30,30,4.282,0.504039680977599,0.987917774716094
30,40,3.027,0.3058120337723812,0.5993915861938671
30,50,2.3760000000000003,0.28587409816211057,0.5603132323977367
30,60,1.446,0.7686117355336177,1.5064790016458907
30,70,0.752,0.365589934215919,0.7165562710632013
30,80,0.30199999999999994,0.3101225564192324,0.6078402105816956
30,90,0.161,0.08067837380611981,0.1581296126599948
30,100,0.133,0.07000714249274856,0.13721399928578717
40,0,5.6979999999999995,0.28141783880912724,0.5515789640658894
40,10,4.786,0.5038491837841955,0.9875444002170232
40,20,4.276999999999999,0.4236283748759047,0.8303116147567732
40,30,3.2659999999999996,0.486727850035315,0.9539865860692174
40,40,2.739,0.5120439434267338,1.0036061291163982
40,50,1.249,0.7087940462503898,1.389236330650764
40,60,0.718,0.54328261521974,1.0648339258306903
40,70,0.5519999999999999,0.3331606219228197,0.6529948189687266
40,80,0.16299999999999998,0.13191285001848757,0.2585491860362356
40,90,0.10500000000000001,0.017464249196572974,0.03422992842528303
40,100,0.089,0.014456832294800964,0.02833539129780989
50,0,4.185,1.4652115888157589,2.871814714078887
50,10,3.903,0.5152096660583922,1.0098109454744488
50,20,2.933,1.0591133083858402,2.0758620844362468
50,30,2.505,0.3568543120098172,0.6994344515392417
50,40,1.888,0.7328001091702974,1.4362882139737827
50,50,1.187,0.7561884685711624,1.4821293983994783
50,60,0.914,0.4675938408490856,0.9164839280642078
50,70,0.296,0.25511566004461583,0.500026693687447
50,80,0.169,0.1631839452887446,0.31984053276593943
50,90,0.071,0.017,0.03332
50,100,0.06399999999999999,0.019595917942265423,0.03840799916684023
60,0,3.5509999999999997,0.3237421813727708,0.6345346754906307
60,10,3.2589999999999995,0.2757698315624826,0.5405088698624658
60,20,2.4160000000000004,0.391054983346332,0.7664677673588107
60,30,1.6529999999999998,0.6443609237065823,1.2629474104649012
60,40,0.9380000000000001,0.7220083102014825,1.4151362879949057
60,50,0.881,0.4498321909334635,0.8816710942295884
60,60,0.323,0.30407400415030555,0.5959850481345988
60,70,0.122,0.13159027319676786,0.257916935465665
60,80,0.101,0.038065732621348554,0.07460883593784316
60,90,0.05700000000000001,0.018466185312619388,0.036193723212734
60,100,0.05,0.014142135623730947,0.027718585822512656
70,0,2.4349999999999996,0.8511433486787052,1.6682409634102622
70,10,1.9140000000000001,0.9510646665711012,1.8640867464793585
70,20,1.8039999999999998,0.17350504315437054,0.34006988458256626
70,30,1.262,0.5501963285955296,1.078384804047238
70,40,0.804,0.4095900389413786,0.802796476325102
70,50,0.514,0.33829572861625073,0.6630596280878515
70,60,0.10400000000000001,0.15061208450851482,0.295199685636689
70,70,0.127,0.14220056258679148,0.2787131026701113
70,80,0.053000000000000005,0.02531797780234432,0.04962323649259487
70,90,0.057999999999999996,0.025219040425836982,0.04942931923464049
70,100,0.053000000000000005,0.024103941586387897,0.047243725509320274
80,0,1.6949999999999998,0.840966705642976,1.648294743060233
80,10,1.1520000000000001,0.7589176503415901,1.4874785946695166
80,20,0.982,0.5216282200955006,1.0223913113871812
80,30,0.7849999999999999,0.4326488183272895,0.8479916839214875
80,40,0.476,0.40755858474580064,0.7988148261017692
80,50,0.238,0.3121474010784008,0.6118089061136656
