Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Total Infected Mean,Total Infected Standard Deviation),Total Infected 95% Confidence Interval (±)
0,N/A,62.911,0.7512982097676028,1.4725444911445014
10,0,54.963,1.0118996985867732,1.9833234092300753
10,10,50.882999999999996,1.4465064811469053,2.8351527030479344
10,20,47.986,1.7293073758010766,3.38944245657011
10,30,43.16,1.8191866314372485,3.565605797617007
10,40,37.510000000000005,2.0262971154300162,3.9715423462428316
10,50,33.083,2.2841280612084773,4.4768909999686155
10,60,33.403000000000006,1.934957622274969,3.792516939658939
10,70,32.106,1.5374992682925097,3.013498565853319
10,80,32.598,1.837622376877252,3.6017398586794136
10,90,32.239999999999995,1.7938784797192922,3.5160018202498127
10,100,33.739,1.5974883411155154,3.13107714858641
20,0,47.234,1.0775267978106164,2.1119525237088084
20,10,43.179,1.2934175659855558,2.5350984293316894
20,20,39.532999999999994,1.4001860590650097,2.744364675767419
20,30,36.313,1.2833787437853252,2.5154223378192375
20,40,31.580999999999996,1.5422285822795532,3.022768021267924
20,50,26.552,1.9718864064646315,3.864897356670678
20,60,15.972,8.10225129207926,15.880412532475347
20,70,12.917000000000002,3.1891348356568447,6.250704277887416
20,80,5.830000000000001,3.9974141641816403,7.834931761796015
20,90,1.1850000000000005,1.028360345404274,2.015586276992377
20,100,0.6500000000000004,0.5016173840687743,0.9831700727747976
30,0,39.577000000000005,1.0133118967030819,1.9860913175380404
30,10,36.185,0.9641913710462233,1.8898150872505977
30,20,32.504,1.5670303124062401,3.071379412316231
30,30,29.356999999999992,1.255030278519209,2.4598593458976494
30,40,24.401999999999997,1.0750888335388826,2.10717411373621
30,50,20.818,1.536221338219204,3.01099382290964
30,60,12.609,6.184615509471871,12.121846398564866
30,70,7.794000000000001,3.947701103173845,7.737494162220736
30,80,1.9120000000000004,2.299590398310099,4.507197180687794
30,90,0.699000000000001,0.49710059344160845,0.9743171631455525
30,100,0.3720000000000002,0.3037367281051134,0.5953239870860222
40,0,32.77,0.40997560903058733,0.8035521936999511
40,10,28.922000000000004,1.0251126767336363,2.009220846397927
40,20,26.567999999999994,1.1825971418872963,2.3178903980991006
40,30,23.452999999999996,1.346907940432455,2.639939563247612
40,40,19.859,1.600696410941188,3.1373649654447284
40,50,11.869000000000002,5.98414647213786,11.728927085390206
40,60,6.858,5.5253521154764424,10.829690146333826
40,70,4.983000000000001,3.292327596093682,6.452962088343617
40,80,1.204999999999999,1.429512154547836,2.8018438229137583
40,90,0.2640000000000022,0.11019981851164562,0.2159916442828254
40,100,0.21700000000000158,0.07694803441284227,0.15081814744917085
50,0,23.856,8.018221997425615,15.715715114954204
50,10,24.318,0.8997866413767203,1.7635818170983717
50,20,19.097,6.423682822182304,12.590418331477315
50,30,18.25,1.4271650219928997,2.7972434431060833
50,40,13.418999999999997,4.610521554011,9.03662224586156
50,50,8.482999999999999,5.398766618404616,10.581582572073046
50,60,7.0600000000000005,2.8833314065504156,5.651329556838815
50,70,2.3910000000000005,2.2582048179914946,4.426081443263329
50,80,1.0490000000000002,1.5267118261151968,2.9923551791857856
50,90,0.1769999999999996,0.07000714249274749,0.13721399928578507
50,100,0.1339999999999982,0.03773592452822531,0.0739624120753216
60,0,20.948,0.5426380008808831,1.0635704817265308
60,10,18.805999999999997,0.7770096524496979,1.5229389188014077
60,20,16.345,1.0889191889208312,2.134281610284829
60,30,12.1,4.2232807152733765,8.277630201935818
60,40,7.367999999999999,5.096262944550644,9.988675371319262
60,50,7.116000000000001,3.6369910640528107,7.128502485543509
60,60,2.437,2.6117007868437025,5.118933542213657
60,70,0.5960000000000001,0.9535009176712937,1.8688617986357356
60,80,0.2849999999999987,0.21481387292258508,0.42103519092826674
60,90,0.10499999999999901,0.052392747589718555,0.10268978527584836
60,100,0.08999999999999915,0.03033150177620556,0.05944974348136289
70,0,14.114,4.711564920490857,9.234667244162079
70,10,11.212000000000003,5.597581263367241,10.971259276199792
